,count
2020-03-10 6:00,2
2020-03-10 6:10,1
2020-03-10 6:30,2
2020-03-10 6:45,1
2020-03-10 7:00,2
2020-03-10 7:15,1
2020-03-10 7:20,1
2020-03-10 7:25,1
2020-03-10 7:30,6
2020-03-10 7:35,2
2020-03-10 7:40,1
2020-03-10 8:00,3
2020-03-10 8:05,1
2020-03-10 8:15,2
2020-03-10 8:30,3
2020-03-10 8:40,1
2020-03-10 8:50,1
2020-03-10 9:00,5
2020-03-10 9:15,1
2020-03-10 9:30,5
2020-03-10 9:45,1
2020-03-10 10:00,7
2020-03-10 10:30,3
2020-03-10 10:45,1
2020-03-10 11:00,3
2020-03-10 12:00,1
2020-03-10 13:00,2
2020-03-10 14:00,2
2020-03-10 16:00,2
2020-03-10 16:30,1
2020-03-10 17:00,1
2020-03-10 17:55,1
2020-03-10 18:00,1
